candidate,feature,baseline_mean,candidate_mean,delta,pct_delta,bootstrap_95ci_low,bootstrap_95ci_high,cohen_d,abs_cohen_d,mannwhitney_p_two_sided
camouflaged_c2_p1,len_10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_11,-255.0,-263.0,-8.0,3.1372549019607843,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
camouflaged_c2_p1,len_12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
camouflaged_c2_p1,len_13,-255.0,-263.0,-8.0,3.1372549019607843,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
camouflaged_c2_p1,len_14,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,flow_duration_seconds,1.1430580399999999,0.18834084000000004,-0.9547171999999998,-83.52307289663085,-0.955935001,-0.9535301565,-313.3237750246268,313.3237750246268,7.066071930388932e-18
default_c2_p1,in_payload_bytes,4831.0,4965.48,134.47999999999956,2.783688677292477,132.5600000000004,136.39999999999964,26.882397656418675,26.882397656418675,1.6975743100544847e-20
default_c2_p1,packet_count,68.82,53.78,-15.039999999999992,-21.854112176692812,-15.599999999999994,-14.479999999999997,-10.226662383880209,10.226662383880209,3.397534664421689e-18
default_c2_p1,out_packets,35.08,26.84,-8.239999999999998,-23.48916761687571,-8.560000000000002,-7.900000000000002,-9.457008552004602,9.457008552004602,2.449066491923014e-18
default_c2_p1,in_packets,33.74,26.94,-6.800000000000001,-20.154119739181983,-7.080000000000002,-6.520000000000003,-9.295882145687635,9.295882145687635,9.091697964069166e-19
default_c2_p1,pcap_size_bytes,21493.32,20321.04,-1172.2799999999988,-5.454159711017185,-1229.243999999998,-1114.2000000000007,-7.786429591098613,7.786429591098613,6.9021567549900576e-18
default_c2_p1,burst_count,43.08,33.84,-9.239999999999995,-21.448467966573805,-10.119999999999997,-8.36,-4.040921823090352,4.040921823090352,5.657685437321529e-18
default_c2_p1,total_payload_bytes,15349.16,15548.4,199.23999999999978,1.298051489462614,171.5559999999995,227.88000000000102,2.75364358570168,2.75364358570168,1.6330026437803947e-16
default_c2_p1,out_payload_bytes,10518.16,10582.92,64.76000000000022,0.6156970420681965,36.92000000000007,93.72000000000116,0.8940767242562614,0.8940767242562614,8.497911232516225e-06
default_c2_p1,len_19,0.0,-2.28,-2.28,,-3.72,-0.72,-0.5964365440100636,0.5964365440100636,0.000284601537700375
default_c2_p1,len_16,-29.28,0.0,29.28,-100.0,7.32,58.56,0.41283747723371206,0.41283747723371206,0.04329482364146867
default_c2_p1,len_18,0.0,-0.36,-0.36,,-0.84,0.0,-0.3537038068479379,0.3537038068479379,0.08218430617277306
default_c2_p1,len_17,-234.24,-270.96,-36.71999999999997,15.676229508196709,-102.79999999999998,29.359999999999985,-0.21315722759490527,0.21315722759490527,7.22773352365712e-09
default_c2_p1,len_20,448.52,570.08,121.56000000000006,27.102470346918768,-209.28900000000002,484.12899999999985,0.1367135895200443,0.1367135895200443,0.5708484052587894
default_c2_p1,len_4,1773.08,1776.96,3.880000000000109,0.2188282536603035,-9.559999999999945,17.320000000000164,0.10939098720368155,0.10939098720368155,0.13741970334788653
default_c2_p1,len_15,-310.48,-318.48,-8.0,2.576655501159495,-73.88,57.879999999999995,-0.04819219145837142,0.04819219145837142,6.181694455260146e-08
default_c2_p1,unknown_packets,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_6,-1369.0,-1377.0,-8.0,0.5843681519357194,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
default_c2_p1,len_7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_8,80.0,88.0,8.0,10.0,8.0,8.0,0.0,0.0,2.6280247350541672e-23
default_c2_p1,len_9,655.0,663.0,8.0,1.2213740458015268,8.0,8.0,0.0,0.0,2.6280247350541672e-23
default_c2_p1,len_10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_11,-255.0,-263.0,-8.0,3.1372549019607843,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
default_c2_p1,len_12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
default_c2_p1,len_13,-255.0,-263.0,-8.0,3.1372549019607843,-8.0,-8.0,0.0,0.0,2.6280247350541672e-23
default_c2_p1,len_14,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0
